date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
05:32:31	12158/12158	---M--	200	added ('OK')	image/gif	etag:%2216018e-2f7e-53e3836d40cc5%22	http://www.utah.edu/_images/u-light/light-the-U-red-blink.gif	C:/My%20Web%20Sites/utah/www.utah.edu/_images/u-light/light-the-U-red-blink.gif	(from http://www.utah.edu/_css/u-light.css)
05:32:32	185374/185374	---M-Z	200	added ('OK')	text/css	etag:%22139-2d41e-53d7fe9a5f09d%22	http://templates.utah.edu/_main-v2/_css/main.css	C:/My%20Web%20Sites/utah/templates.utah.edu/_main-v2/_css/main.css	(from http://www.utah.edu/academics/)
05:32:32	2292/2292	---M-Z	200	added ('OK')	text/css	etag:%22160124-8f4-53e3836c97da5%22	http://www.utah.edu/_css/custom-styles.css	C:/My%20Web%20Sites/utah/www.utah.edu/_css/custom-styles.css	(from http://www.utah.edu/academics/)
05:32:33	14211/14211	---M-Z	200	added ('OK')	text/html	date:Fri,%2007%20Oct%202016%2005:32:33%20GMT	http://www.utah.edu/index.php	C:/My%20Web%20Sites/utah/www.utah.edu/index-2.html	(from http://www.utah.edu/academics/)
05:32:33	15414/15414	---M-Z	200	added ('OK')	application/javascript	etag:%222c2-3c36-53d7ff743882a%22	http://templates.utah.edu/_main-v2/_scripts/vendor/modernizr-2.6.2.min.js	C:/My%20Web%20Sites/utah/templates.utah.edu/_main-v2/_scripts/vendor/modernizr-2.6.2.min.js	(from http://www.utah.edu/academics/)
05:32:34	426/426	---M--	200	added ('OK')	image/png	etag:%22146-1aa-53d7ff743611a%22	http://templates.utah.edu/_main-v2/_images/search/gsa_search_btn.png	C:/My%20Web%20Sites/utah/templates.utah.edu/_main-v2/_images/search/gsa_search_btn.png	(from http://www.utah.edu/academics/)
05:32:34	75567/75567	---M--	200	added ('OK')	image/jpeg	etag:%221603e5-1272f-53e3836cb5265%22	http://www.utah.edu/_images/home/banners/med_banner1.jpg	C:/My%20Web%20Sites/utah/www.utah.edu/_images/home/banners/med_banner1.jpg	(from http://www.utah.edu/_css/main.css)
05:32:35	4629/4629	---M--	200	added ('OK')	image/jpeg	etag:%22160374-1215-53e3836ca2985%22	http://www.utah.edu/_images/academics/academics-majors-sidebar.jpg	C:/My%20Web%20Sites/utah/www.utah.edu/_images/academics/academics-majors-sidebar.jpg	(from http://www.utah.edu/academics/)
05:32:36	7578/7578	---M--	200	added ('OK')	image/jpeg	etag:%2216036c-1d9a-53e3836ca2985%22	http://www.utah.edu/_images/academics/academics-advising-sidebar.jpg	C:/My%20Web%20Sites/utah/www.utah.edu/_images/academics/academics-advising-sidebar.jpg	(from http://www.utah.edu/academics/)
05:32:37	15793/15793	---M-Z	200	added ('OK')	text/html	date:Fri,%2007%20Oct%202016%2005:32:36%20GMT	http://www.utah.edu/credits.php	C:/My%20Web%20Sites/utah/www.utah.edu/credits.html	(from http://www.utah.edu/academics/)
05:32:40	37563/37563	---M--	200	added ('OK')	image/jpeg	etag:%22160148-92bb-53e3836ca2985%22	http://www.utah.edu/_images/academics/banner-academics.jpg	C:/My%20Web%20Sites/utah/www.utah.edu/_images/academics/banner-academics.jpg	(from http://www.utah.edu/academics/)
05:32:41	53047/53047	---M--	200	added ('OK')	image/png	etag:%22146-cf37-4fc12b79aeee9%22	http://templates.utah.edu/_main-v2/_images/header/logo/uu-logo.png	C:/My%20Web%20Sites/utah/templates.utah.edu/_main-v2/_images/header/logo/uu-logo.png	(from http://www.utah.edu/academics/)
05:32:43	31819/31819	---M-Z	200	added ('OK')	application/javascript	etag:%2214c-7c4b-4fcd7cb478a5d%22	http://templates.utah.edu/_main-v2/_scripts/vendor/bootstrap.min.js	C:/My%20Web%20Sites/utah/templates.utah.edu/_main-v2/_scripts/vendor/bootstrap.min.js	(from http://www.utah.edu/academics/)
